[2025-07-08 20:30:01.226544] TCP | N/A:443 -> N/A:61396 | Flags: A | TTL: N/A | Window: 16388 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:01.310178] TCP | N/A:61252 -> N/A:443 | Flags: PA | TTL: N/A | Window: 255 | Payload: 118 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:01.311762] TCP | N/A:61252 -> N/A:443 | Flags: A | TTL: N/A | Window: 255 | Payload: 1340 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:01.317639] TCP | N/A:61252 -> N/A:443 | Flags: A | TTL: N/A | Window: 255 | Payload: 1340 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:01.317639] TCP | N/A:61252 -> N/A:443 | Flags: PA | TTL: N/A | Window: 255 | Payload: 630 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:01.318661] TCP | 192.168.200.118:61404 -> 13.89.178.27:443 | Flags: S | TTL: 128 | Window: 65535 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:01.357566] TCP | N/A:443 -> N/A:56804 | Flags: PA | TTL: N/A | Window: 501 | Payload: 27 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:01.397716] TCP | N/A:56804 -> N/A:443 | Flags: A | TTL: N/A | Window: 251 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:01.569952] TCP | N/A:61405 -> N/A:443 | Flags: S | TTL: N/A | Window: 65535 | Payload: 0 bytes | MAC: 10:91:d1:25:76:69 -> d6:13:8a:69:6d:16
[2025-07-08 20:30:01.573500] TCP | 13.89.178.27:443 -> 192.168.200.118:61404 | Flags: SA | TTL: 98 | Window: 65535 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:01.575475] TCP | N/A:443 -> N/A:61252 | Flags: A | TTL: N/A | Window: 16388 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
[2025-07-08 20:30:01.577471] TCP | N/A:443 -> N/A:61252 | Flags: A | TTL: N/A | Window: 16388 | Payload: 0 bytes | MAC: d6:13:8a:69:6d:16 -> 10:91:d1:25:76:69
